No | KKKS | NDP | Tender Title | Expected Invitation Date | Currency | Estimated Value | Minimum TKDN
1 | BP TANGGUH (BERAU) | A002-26-A-000003 | Marine Terminal Support Vessel Manning, Operations and Maintenance Services | April 2026 | USD | 19658031 | 85
2 | BP TANGGUH (BERAU) | A002-26-A-000004 | Marine Time Charter Party for High Speed Offshore Crew Boat | April 2026 | USD | 9440090 | 85
3 | BP TANGGUH (BERAU) | A002-26-A-000011 | Mechanical Maintenance Services | Januari 2026 | IDR | 106754543909 | 75
4 | BP TANGGUH (BERAU) | A002-26-A-000005 | Provision of V0 Advance Casing Plug For Tangguh UCC Project | Januari 2026 | USD | 940903 | 46
5 | BP TANGGUH (BERAU) | A002-26-A-000006 | Provision of Wellhead Preventive Maintenance | Januari 2026 | USD | 3500000 | 35
6 | BP TANGGUH (BERAU) | A002-26-A-000007 | Provision of Conventional Coring Services and Rig site Preservation | April 2026 | USD | 1293820 | 50
7 | BP TANGGUH (BERAU) | A002-26-A-000008 | Well Testing Services for Tangguh UCC Project | Mei 2026 | USD | 4181004 | 50
8 | BP TANGGUH (BERAU) | A002-26-A-000009 | Wiriagar Onshore 3D Seismic Reprocessing | Januari 2026 | IDR | 74250000000 | 20
9 | BP TANGGUH (BERAU) | A002-26-A-000010 | Provision of Sand Filter and Flowback Equipment | Januari 2026 | USD | 1200000 | 35
10 | BP TANGGUH (BERAU) | A002-26-A-000001 | Integrated Freight Forwarding Services | Januari 2026 | IDR | 66189820138 | 70
11 | BP TANGGUH (BERAU) | A002-26-A-000002 | Tangguh LNG Operation Support Services | Januari 2026 | IDR | 73884726309 | 90
12 | BP TANGGUH (BERAU) | A002-25-B-000054 | CCM ER and Safety Services | Februari 2026 | IDR | 123462320294 | 88
13 | BP TANGGUH (BERAU) | A002-24-A-000005 | Tangguh Intra Papua Aviation Services Fixed Wing | Januari 2026 | IDR | 999926954745 | 86
14 | BP TANGGUH (BERAU) | A002-24-B-000012 | Provision of North Shore Housing in Weriagar, Tomu and Taroy Districts | Januari 2026 | IDR | 211186698960 | 65
15 | BP TANGGUH (BERAU) | A002-24-B-000017 | Tangguh Production Facility Leak Test & N2 Purge, and Chemical | Januari 2026 | IDR | 295588768768 | 55
